,DEVELOPER,PUBLISHER,BASE PRICE,Action,Adventure,Casual,Early Access,Free to Play,Indie,Massively Multiplayer,Movie,RPG,Racing,Simulation,Sports,Strategy,LAN Co-op,Online Co-op,Online PvP,Shared/Split Screen Co-op,Shared/Split Screen PvP,Single-player
40,"KRAFTON, Inc.","KRAFTON, Inc.",14.99,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
41,Starwind Games,Starwind Games,24.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
42,Volens Nolens Games,Volens Nolens Games,0.0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1
43,Bugbear,THQ Nordic,0.0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1
44,Codemasters,"Codemasters,Electronic Arts",59.99,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0
45,Clifftop Games,Raw Fury,14.99,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0
46,Rundisc,Focus Entertainment,24.99,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1
47,"WeMade,VALOFE",VALOFE,4.99,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1
48,Artefacts Studio,Twin Sails Interactive,14.99,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0
49,Masangsoft,Masangsoft,4.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
50,Rafael Burgos,Rafael Burgos,19.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
51,Heliocentric Studios,Team17 Digital,29.99,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0
52,"INTI CREATES CO., LTD.","INTI CREATES CO., LTD.",14.99,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0
53,Superboss Games,Superboss Games,34.99,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
54,Lince Works,Lince Works,9.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1
55,Capcom,Capcom,9.99,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
56,"BANDAI NAMCO Studio,SHIFT,QLOC",BANDAI NAMCO Entertainment,19.99,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0
57,Fishing Cactus,Plug In Digital,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
58,"Toys for Bob,Beenox,Activision Shanghai,Hardsuit Labs,Iron Galaxy Studios",Activision,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
59,RuneStorm,RuneStorm,29.99,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1
60,Alex Hall,Alex Hall,0.0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0
61,30.06 Studios Ltd,KPL,15.99,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1
62,IGG SINGAPORE PTE. LTD.,IGG SINGAPORE PTE. LTD.,0.99,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
63,Blackmill Games,Blackmill Games,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1
64,Eleventh Hour Games,Eleventh Hour Games,29.99,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0
65,Konfa Games,Konfa Games,5.49,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1
66,StalkerAlex,StalkerAlex.,29.99,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1
67,Telltale Games,2K,14.99,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1
68,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0
69,CREATIVE ASSEMBLY,SEGA,39.99,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0
70,Define Human Studios,Define Human Studios,0.0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1
71,Kunos Simulazioni,Kunos Simulazioni,39.99,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
72,Cyanide Studios,Nacon,4.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
73,Keen Games,THQ Nordic,19.99,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0
74,Soccer Manager Ltd,Soccer Manager Ltd,14.99,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
75,Rejected Games,"PlayWay S.A.,Rejected Games",69.99,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1
76,Other Ocean Interactive,KONAMI,0.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
77,Spellgarden Games,Assemble Entertainment,0.0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
78,Swell Games LLC,Swell Games LLC,0.99,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0
79,Deck Nine,Square Enix,34.99,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1
80,Playsaurus,Playsaurus,9.99,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1
81,Crazy Rocks,PlayWay S.A.,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
82,"IDEA FACTORY,COMPILE HEART,TAMSOFT",Idea Factory International,39.99,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1
83,Duhndal,Duhndal,0.0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
84,重楼工作室,重楼工作室,0.0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
85,Gunfire Games,Gearbox Publishing,4.99,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
86,Acido Cinza,KISS ltd,0.0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
87,"Jackbox Games, Inc.","Jackbox Games, Inc.",29.99,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
88,stillalive studios,astragon Entertainment,0.0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1
89,Chainsawesome Games,Chainsawesome Games,19.99,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1
90,Funcom,Funcom,19.99,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1
91,Crazy Rocks,PlayWay S.A.,24.99,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0
92,ACTION SQUARE,HIKE Inc.,29.99,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
93,Rake in Grass,Rake in Grass,44.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
94,"B.B.STUDIO CO.,LTD.",Bandai Namco Entertainment Inc.,0.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
95,Scott Cawthon,Scott Cawthon,0.0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0
96,"Tero Lunkka,Mikko Seppälä",Tero Lunkka,9.99,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1
97,BeamNG,BeamNG,49.99,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1
98,ATLUS,SEGA,14.99,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0
99,Snail Games USA,Snail Games USA,6.99,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
100,Denki,Curve Games,24.99,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
101,Ubisoft Entertainment,Ubisoft Entertainment,0.0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1
102,3X Entertainment Limited,Nutaku Publishing,19.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1
103,VALOFE,G・O・P,2.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
104,Bohemia Interactive,Bohemia Interactive,0.0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0
105,Z Studio,ParasGames,14.99,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1
106,Com2uS,Com2uS,0.0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0
107,Timeless SP,Nutaku Publishing,29.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
108,Gearbox Software,2K,29.99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
109,Autonomic Interactive,New Reality Games,3.99,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0
110,Simon Blasen,Simon Blasen,59.99,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1
111,"Way York,SilverBlade",INDIECN,17.99,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0
112,"SNK CORPORATION,Dotemu",SNK CORPORATION,59.99,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1
113,Unexpected,"Goblinz Publishing,Maple Whispering Limited,Unexpected",0.0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1
114,Fury Studios,Raw Fury,17.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,D3PUBLISHER,D3PUBLISHER,19.99,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
116,GB Patch Games,GB Patch Games,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
117,PopCap,Electronic Arts,11.99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
118,"Petroglyph,Six Foot","Six Foot,Grey Box",39.99,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0
119,Crater Studios,Crater Studios,24.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0
120,Beautiful Glitch,Beautiful Glitch,13.99,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1
121,"Jackbox Games, Inc.","Jackbox Games, Inc.",2.99,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0
122,Devdan Games,Conglomerate 5,59.99,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1
123,Romantic Room,Romantic Room,9.99,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
124,Telltale Games,Telltale Games,19.99,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
125,KONAMI,KONAMI,14.99,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1
126,"Mojang Studios,Blackbird Interactive",Xbox Game Studios,49.99,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1
127,Gabriel Priske,Noetic,29.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0
128,Lighthouse Games Studio,Lighthouse Games Studio,0.0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0
129,Creature Cauldron,Creature Cauldron,24.99,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1
130,Wemade Next,Wemade,14.99,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
131,Team17 Digital Ltd,Team17 Digital Ltd,14.99,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1
132,"Visual Concepts,Yuke's Co., LTD",2K,29.99,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0
133,Sports Interactive,SEGA,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
134,RobTop Games,RobTop Games,0.0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1
135,Somer Games,8Floor,24.99,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
136,Nolla Games,Nolla Games,0.0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1
137,"UltraShock Gaming LLC,Killbox Graphics",Conglomerate 5,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
138,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",4.99,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0
139,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",0.0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
140,"Noah System,Mgame",NTTGame,34.99,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
141,"MuHa Games,Eerie Forest Studio",Slitherine Ltd.,19.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
142,Harebrained Schemes,Paradox Interactive,0.0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0
143,"Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy","Flazm,META Publishing",4.99,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
144,"Cloudcade, Inc.","Cloudcade, Inc.",19.99,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0
145,Gravity Lagoon,HypeTrain Digital,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
146,Bethesda Game Studios,Bethesda Softworks,14.99,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1
147,Warma,Warma,49.99,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
148,No Code,Devolver Digital,16.99,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1
149,"FURYU Corporation,LANCARSE Ltd.",Bushiroad Inc.,19.99,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1
150,"Dotemu,Guard Crush,Lizardcube","Dotemu,Yooreka Studio (Greater China)",19.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151,HA Studio Ltd.,SA Industry,9.99,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
152,Proxy Studios,Slitherine Ltd.,19.99,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
153,TPP Studio,TPP Studio,3.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
154,NeocoreGames,NeocoreGames,4.99,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0
155,ALT Lab,ALT Lab,39.99,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0
156,The Fun Pimps,The Fun Pimps Entertainment LLC,19.99,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
157,CABO Studio,Modern Wolf,0.0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1
158,Light Bringer Games inc.,Light Bringer Games inc.,29.99,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
159,Beautiful Glitch,Beautiful Glitch,19.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
160,Mega Crit Games,Mega Crit Games,0.0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0
161,WhackAKey Games,Conglomerate 5,14.99,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
162,Team Samoyed,Team Samoyed,0.99,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
163,Oddshot Games,Oddshot Games,0.99,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1
164,"Asobism.Co.,Ltd","Asobism.Co.,Ltd",39.99,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
165,Cult Software,Cult Software,19.99,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1
166,CyberConnect2 Co. Ltd.,Bandai Namco Entertainment,14.99,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1
167,Tamsoft,"XSEED Games,Marvelous USA, Inc.,Marvelous",19.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
168,Offworld,Offworld,19.99,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1
169,NetEase Games,NetEase Games,29.99,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1
170,"WB Games Montreal,Splash Damage",Warner Bros. Interactive Entertainment,49.99,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
171,Starward Industries,11 bit studios,0.0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
172,Artefacts Studio,"Dear Villagers,E-Home Entertainment",0.0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
173,Ryu Ga Gotoku Studio,SEGA,59.99,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0
174,Acid Wizard Studio,Acid Wizard Studio,19.99,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0
175,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",29.99,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
176,Alon Zubina,Alon Zubina,0.0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
177,Cleversan Games,"PlayWay S.A.,Sim Farm S.A.",19.99,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1
178,Obsidian Entertainment,Paradox Interactive,14.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
179,"Armchair History Interactive,Targon Studios",Armchair History Interactive,11.99,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1
180,"SNK Games,Elemental Games,Katauri Interactive",Fulqrum Publishing,0.0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0
181,"Nippon Ichi Software, Inc.","NIS America, Inc.",0.0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1
182,The Molasses Flood,"The Molasses Flood,Curve Games",0.0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0
183,Chowbie,Chowbie,29.99,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1
184,Mohawk Games,Hooded Horse,29.99,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0
185,Tindalos Interactive,Focus Entertainment,49.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
186,"KRAFTON, Inc.","KRAFTON, Inc.",27.99,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0
187,"Happinet,Matrix",Happinet,14.99,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0
188,Labyrinthine,Senpai Studios,4.99,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
189,"Visual Concepts,Yuke's Co., LTD",2K,19.99,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0
190,JDM4iK Games,SA Industry,0.0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
191,Airship Syndicate,Digital Extremes,14.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1
192,"Dillon Rogers,David Szymanski",New Blood Interactive,0.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
193,Nimbus Games,SCRYsoft,0.0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1
194,Sandbox Interactive GmbH,Sandbox Interactive GmbH,0.0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
195,Conifer Studios,Conifer Studios,0.0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0
196,Shockfront Studios,Shockfront Studios,19.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
197,CodingDaniel,CodingDaniel,39.99,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1
198,NIGORO,PLAYISM,0.0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1
199,Topware Interactive,Topware Interactive,24.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
200,Crunchy Leaf Games,Crunchy Leaf Games,19.99,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1
201,100 Hidden Animals,100 Cozy Games,14.99,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1
202,PlaySurrounDead,PlaySurrounDead,59.99,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1
203,"M7 Productions,Attrito","Attrito,M7 Productions",29.99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
204,Undead Labs,Xbox Game Studios,14.99,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
205,inXile Entertainment,inXile Entertainment,14.99,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
206,"SNK Games,Elemental Games,Katauri Interactive",Fulqrum Publishing,0.99,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
207,"Idea Factory,Compile Heart",Idea Factory International,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
208,Glyph Worlds,Glyph Worlds,29.99,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
209,Stardock Entertainment,Stardock Entertainment,19.99,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1
210,Out of the Park Developments,Out of the Park Developments,12.99,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0
211,"Ubisoft Paris,Ubisoft Annecy,Ubisoft Bucharest,Ubisoft Montpellier,Ubisoft Milan,Reflections,Ubisoft Belgrade",Ubisoft,0.99,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0
212,Campfire Games,Campfire Games,24.99,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1
